Date,AAPL,ABT,ACN,ADBE,ADI,AMAT,AMD,AMGN,AMT,AMZN,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CL,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,GE,GILD,GIS,GM,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KMB,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,META,MMM,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SLB,SO,SYK,T,TGT,TMO,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-01-02,24.19260597229004,36.00920486450195,73.62825012207031,72.33999633789062,44.095245361328125,21.71047019958496,2.6700000762939453,114.76860809326172,75.03495788574219,15.425999641418457,79.04020690917969,113.65721893310547,14.050795555114746,44.7321891784668,268.20404052734375,40.884254455566406,40.013999938964844,69.02715301513672,52.743927001953125,20.379926681518555,47.56376647949219,113.81517791748047,58.23255157470703,19.603914260864258,68.43496704101562,68.89833068847656,72.45174407958984,34.932926177978516,85.36593627929688,52.45855712890625,45.57994079589844,8.331911087036133,102.43069458007812,65.13838958740234,35.12712860107422,26.77745246887207,26.244783401489258,154.8726043701172,78.78035736083984,70.93433380126953,96.85393524169922,27.896461486816406,82.98245239257812,58.39666748046875,76.11090087890625,46.27431106567383,77.58451080322266,29.3902645111084,57.28232955932617,141.9563751220703,54.9810791015625,79.84829711914062,69.80445861816406,28.57546615600586,54.24211883544922,77.76708984375,95.18692779541016,23.357410430908203,38.209564208984375,28.405519485473633,39.681732177734375,33.89122772216797,19.752500534057617,4.984857082366943,40.74406814575195,0.4824230372905731,37.353553771972656,66.58295440673828,18.082530975341797,65.55573272705078,46.51792907714844,53.789649963378906,55.35448455810547,32.26100158691406,62.2084846496582,30.44742774963379,82.55199432373047,11.403401374816895,53.36745071411133,123.67459869384766,39.10274887084961,83.35271453857422,91.70441436767578,72.16659545898438,30.177574157714844,61.08810043334961,25.73297882080078,39.736141204833984,23.127538681030273,57.14555740356445
2015-01-05,23.51106071472168,36.01723098754883,72.38507080078125,71.9800033569336,43.293373107910156,21.014633178710938,2.6600000858306885,113.40479278564453,73.95088195800781,15.10949993133545,76.94994354248047,112.87004089355469,13.64261245727539,42.9900016784668,261.2648010253906,40.245338439941406,38.75295639038086,65.38347625732422,52.35432434082031,19.964296340942383,45.30014419555664,112.5211410522461,57.18074035644531,19.21339988708496,67.758544921875,66.14433288574219,70.90167999267578,34.58653259277344,84.11846160888672,51.70334243774414,44.64311599731445,8.00644588470459,100.5505142211914,66.42867279052734,34.4921760559082,26.38547134399414,25.744714736938477,150.03701782226562,77.12749481201172,69.58260345458984,95.32992553710938,27.581893920898438,82.6549301147461,57.1522216796875,75.57930755615234,44.83772277832031,77.1413803100586,29.3902645111084,56.71820831298828,139.0043487548828,53.665443420410156,77.60232543945312,69.03350830078125,28.14827537536621,54.01575469970703,76.51805114746094,93.04023742675781,23.223854064941406,38.7774658203125,27.51762580871582,39.31682205200195,32.94519805908203,19.54329490661621,4.731142997741699,40.08809280395508,0.47427478432655334,36.82970428466797,66.08235931396484,17.98440933227539,65.24404907226562,46.16769790649414,53.536190032958984,54.430667877197266,31.643030166625977,60.523826599121094,30.317903518676758,81.27849578857422,11.295663833618164,52.411048889160156,121.97566223144531,38.495880126953125,81.9797592163086,88.60406494140625,70.72168731689453,29.450580596923828,59.739662170410156,25.519264221191406,38.64646911621094,23.060237884521484,55.58194351196289
2015-01-06,23.51326560974121,35.60821533203125,71.86295318603516,70.52999877929688,42.27715301513672,20.223098754882812,2.630000114440918,109.75117492675781,73.755126953125,14.76449966430664,75.30998229980469,111.54061889648438,13.23443603515625,42.299861907958984,257.2046813964844,40.1766357421875,37.388675689697266,64.96276092529297,51.80427169799805,19.70387077331543,43.429893493652344,114.00806427001953,56.227237701416016,19.206298828125,67.80890655517578,66.11376953125,70.3111801147461,34.35017395019531,83.67227935791016,52.55217742919922,44.56935501098633,7.930507659912109,98.3841552734375,67.0188980102539,34.40620803833008,26.78514289855957,25.109350204467773,147.00193786621094,76.8913803100586,69.41983032226562,93.27405548095703,27.067852020263672,80.11658477783203,57.75444412231445,75.20795440673828,43.67512512207031,76.39608764648438,29.613439559936523,57.00437545776367,138.35076904296875,53.787254333496094,77.43460083007812,69.1607666015625,27.9541015625,53.744083404541016,75.48710632324219,92.0480728149414,23.362180709838867,40.30076599121094,26.725126266479492,38.739768981933594,32.05768966674805,19.61920166015625,4.650143146514893,39.852264404296875,0.4598955512046814,36.44949722290039,65.58179473876953,18.134477615356445,64.94686889648438,46.563873291015625,52.775848388671875,53.6607666015625,31.385541915893555,59.340232849121094,30.681781768798828,81.1642837524414,11.312494277954102,52.40394592285156,120.83660125732422,37.85975646972656,81.8143539428711,86.77166748046875,70.25751495361328,29.060138702392578,59.35472869873047,25.776813507080078,37.84012222290039,23.237932205200195,55.28644943237305
2015-01-07,23.84297752380371,35.89692687988281,73.37132263183594,71.11000061035156,42.72175216674805,20.414457321166992,2.5799999237060547,113.58424377441406,74.53057861328125,14.920999526977539,76.9547348022461,113.27236938476562,13.297229766845703,41.892906188964844,262.64788818359375,40.698760986328125,37.73527908325195,65.96943664550781,52.21681594848633,19.686031341552734,43.71975326538086,115.99324798583984,55.96183395385742,19.383798599243164,69.03225708007812,66.05867767333984,70.00772094726562,34.558006286621094,84.5282211303711,52.72067642211914,44.47343444824219,8.158330917358398,98.425048828125,68.27487182617188,35.13373947143555,27.54603385925293,25.035503387451172,149.19264221191406,79.52679443359375,69.92231750488281,92.66444396972656,27.635597229003906,80.90126037597656,58.071109771728516,76.86821746826172,43.74177169799805,76.9264907836914,29.983089447021484,56.60374069213867,140.13522338867188,55.38714599609375,78.63909912109375,70.3658218383789,28.831764221191406,55.087303161621094,75.48710632324219,92.71532440185547,23.79145050048828,41.16265869140625,27.106700897216797,39.23197555541992,31.30671501159668,19.798791885375977,4.674285888671875,40.67546081542969,0.45869728922843933,36.45793533325195,67.49947357177734,18.382652282714844,65.28753662109375,46.914100646972656,53.39138412475586,54.24296569824219,32.157997131347656,59.332969665527344,31.020978927612305,82.70134735107422,11.378458023071289,54.387611389160156,124.45646667480469,38.53974914550781,82.64969635009766,87.25103759765625,70.91130065917969,29.315937042236328,60.14995574951172,25.610469818115234,38.065330505371094,23.854488372802734,55.84665298461914
2015-01-08,24.75908088684082,36.63475036621094,74.4901351928711,72.91999816894531,43.476009368896484,21.066814422607422,2.609999895095825,113.17512512207031,75.2231674194336,15.02299976348877,78.04558563232422,115.2752685546875,13.571968078613281,42.41305160522461,265.7154846191406,41.715553283691406,38.303123474121094,66.6456069946289,52.92728042602539,20.1141357421875,44.810157775878906,116.98983764648438,57.593597412109375,19.532909393310547,70.50027465820312,67.57030487060547,70.93447875976562,35.091861724853516,85.40235900878906,52.9328727722168,45.63894271850586,8.364459991455078,99.61038970947266,70.2103042602539,35.70697021484375,27.82272720336914,25.12273406982422,151.5745849609375,81.2862777709961,71.19618225097656,94.67852020263672,28.149646759033203,81.98699188232422,59.22222137451172,77.4726333618164,44.71925354003906,78.5513687133789,30.34575653076172,57.94462966918945,143.2928924560547,56.55661392211914,79.86229705810547,70.62775421142578,29.196834564208984,56.40790939331055,77.49943542480469,94.93746185302734,24.192108154296875,41.99111557006836,27.51029396057129,40.38609313964844,32.83792495727539,19.91912841796875,4.7779998779296875,41.61442184448242,0.47595226764678955,36.67761993408203,68.72621154785156,18.7578125,66.0341567993164,47.62031555175781,53.95619201660156,55.166839599609375,32.67692947387695,60.05183792114258,31.045635223388672,84.10662841796875,11.491659164428711,54.64265060424805,125.75004577636719,39.168556213378906,86.59481811523438,90.52149200439453,72.18624114990234,29.53134536743164,60.956729888916016,26.15939712524414,38.907989501953125,24.35796546936035,56.776187896728516
2015-01-09,24.7856388092041,36.24980926513672,74.40727996826172,71.83999633789062,43.44424057006836,21.084203720092773,2.630000114440918,111.78254699707031,74.8392333984375,14.846500396728516,77.05699157714844,115.0478515625,13.32862663269043,41.203163146972656,262.5652770996094,41.440738677978516,37.447654724121094,65.84927368164062,52.40778732299805,20.082027435302734,44.803245544433594,115.18953704833984,57.17091369628906,19.73171615600586,70.46427154541016,66.22392272949219,70.2455825805664,34.855506896972656,85.82122039794922,53.00777816772461,44.92341995239258,8.250547409057617,98.22067260742188,70.14850616455078,35.347042083740234,27.353897094726562,24.815948486328125,149.24847412109375,79.89237976074219,70.01431274414062,95.09088134765625,28.203336715698242,80.26256561279297,57.87444305419922,76.4167709350586,43.94170379638672,77.84638214111328,30.010990142822266,57.17605972290039,143.21212768554688,55.49273681640625,78.8445053100586,69.76702880859375,28.909460067749023,56.1437873840332,77.0632553100586,93.77127075195312,24.1348876953125,41.797359466552734,27.062664031982422,40.046634674072266,32.701377868652344,19.743242263793945,4.704143047332764,41.15565872192383,0.47786945104599,36.66073226928711,68.26089477539062,18.844383239746094,65.41803741455078,47.49399948120117,53.891048431396484,54.86368942260742,31.607379913330078,58.97715377807617,30.650943756103516,83.08779907226562,11.457347869873047,54.14673614501953,125.248046875,39.190486907958984,85.78431701660156,88.89786529541016,71.65660858154297,28.918781280517578,60.05314636230469,25.92652702331543,38.26872253417969,24.056411743164062,56.69615936279297
2015-01-12,24.17490005493164,36.5545654296875,74.18351745605469,71.12000274658203,43.007572174072266,20.57971954345703,2.630000114440918,112.13426971435547,74.5155029296875,14.570500373840332,76.2729721069336,114.46186065673828,13.09314250946045,40.73392868041992,260.8360290527344,42.718597412109375,37.15268325805664,65.27828979492188,52.14804458618164,20.03921890258789,43.52650833129883,114.54655456542969,56.748226165771484,19.916324615478516,69.94617462158203,64.79798126220703,70.08154296875,34.42352294921875,86.012451171875,53.05772399902344,44.38492965698242,8.25597095489502,98.01628112792969,69.46220397949219,35.093753814697266,27.54603385925293,24.63456153869629,147.43211364746094,79.53441619873047,69.6745834350586,93.49519348144531,28.080589294433594,79.12208557128906,58.38999938964844,76.15460968017578,43.564064025878906,77.72552490234375,29.73897933959961,56.75907516479492,142.8082733154297,55.1028938293457,77.83610534667969,69.6173324584961,28.63760757446289,56.196598052978516,76.0521469116211,93.2607192993164,24.287508010864258,41.62364959716797,26.688426971435547,39.54594421386719,30.877592086791992,19.693262100219727,4.554714202880859,41.09992599487305,0.47187820076942444,36.55934524536133,67.97887420654297,18.913644790649414,65.17884063720703,47.6834716796875,53.27554702758789,55.070613861083984,31.78166961669922,56.675270080566406,30.657100677490234,82.57837677001953,11.488226890563965,54.28843307495117,124.04137420654297,38.83952713012695,84.8166275024414,88.1169662475586,71.68276977539062,28.649505615234375,59.93558120727539,26.103954315185547,37.81106185913086,24.23680877685547,55.6065673828125
2015-01-13,24.389541625976562,35.96602249145508,74.44873046875,70.58999633789062,42.51531982421875,20.292680740356445,2.6600000858306885,111.35906982421875,73.68738555908203,14.737000465393066,76.04288482666016,114.7242660522461,12.912601470947266,40.64932632446289,261.62548828125,43.3643913269043,36.88720703125,64.88761901855469,52.50709915161133,20.27825164794922,43.09172439575195,113.39720916748047,56.9841423034668,19.951824188232422,69.97494506835938,63.76984405517578,70.4424057006836,34.37462615966797,86.67715454101562,53.34481430053711,44.318538665771484,8.250547409057617,97.52581024169922,66.71692657470703,35.13374328613281,27.092565536499023,24.869478225708008,147.32054138183594,79.00885772705078,70.17001342773438,93.71630859375,28.003873825073242,78.74801635742188,57.962223052978516,76.28569030761719,43.57145309448242,77.94038391113281,29.73200798034668,56.726356506347656,142.72010803222656,55.111026763916016,78.01351165771484,69.48261260986328,28.451190948486328,54.92884063720703,75.78448486328125,93.19107818603516,24.47829818725586,41.55015182495117,26.438934326171875,39.34230041503906,30.07785415649414,19.771020889282227,4.625570774078369,40.73548126220703,0.4711592495441437,36.27206802368164,67.92952728271484,18.723186492919922,65.45426177978516,47.71217346191406,52.84100341796875,55.017669677734375,32.03520202636719,56.47919845581055,30.63860511779785,82.75401306152344,11.488226890563965,53.806671142578125,123.8869400024414,38.59824752807617,85.24671173095703,86.46237182617188,71.99007415771484,28.33986473083496,60.11076736450195,26.15939712524414,37.665771484375,24.045642852783203,55.403438568115234
2015-01-14,24.296606063842773,35.69996643066406,73.5784912109375,69.98999786376953,42.48357009887695,20.023048400878906,2.630000114440918,111.37347412109375,73.22063446044922,14.66349983215332,74.20208740234375,114.03331756591797,12.590768814086914,40.56510925292969,259.94891357421875,43.247589111328125,36.17189407348633,64.66223907470703,52.2932014465332,19.914352416992188,43.215946197509766,111.9665756225586,56.27638626098633,19.824018478393555,70.03972625732422,63.586219787597656,70.92630004882812,33.83261489868164,85.80302429199219,53.48212814331055,43.97921371459961,8.19629955291748,97.19881439208984,68.1238784790039,35.27371597290039,26.36241340637207,25.074161529541016,143.57643127441406,78.17862701416016,69.844482421875,93.1126480102539,27.888792037963867,78.67504119873047,59.48444366455078,75.73224639892578,42.06822967529297,78.04106903076172,29.683198928833008,57.037078857421875,141.8976593017578,54.72931671142578,77.92947387695312,68.51705932617188,28.38905906677246,54.159122467041016,75.615966796875,92.73854064941406,24.673852920532227,41.850799560546875,25.83721160888672,39.00284194946289,29.30738067626953,19.893207550048828,4.631999969482422,40.17811584472656,0.4730764627456665,36.38190460205078,68.15513610839844,18.74626922607422,65.22956848144531,47.89588165283203,52.29791259765625,54.62312698364258,31.856929779052734,56.92216491699219,30.95313835144043,81.90206909179688,11.433343887329102,52.65897750854492,121.82119750976562,38.53974914550781,85.46175384521484,86.0990219116211,71.50625610351562,27.82826042175293,58.907535552978516,26.042953491210938,37.229923248291016,23.318700790405273,55.24337387084961
2015-01-15,23.637189865112305,35.433895111083984,73.07293701171875,70.29000091552734,41.86430740356445,20.292680740356445,2.5199999809265137,109.04777526855469,72.48285675048828,14.34749984741211,73.1879653930664,113.82339477539062,11.931401252746582,39.09944534301758,257.4678955078125,42.34074020385742,34.82972717285156,63.86695861816406,52.193878173828125,19.97857093811035,42.380897521972656,111.9665756225586,54.17277908325195,19.461904525756836,69.92457580566406,62.833473205566406,71.51679992675781,33.429168701171875,85.91228485107422,54.14994430541992,43.802181243896484,8.060693740844727,96.38135528564453,66.84732818603516,35.62699508666992,25.693754196166992,24.979007720947266,142.1903076171875,76.93710327148438,68.72628784179688,92.37760925292969,27.766029357910156,77.62577056884766,58.264442443847656,74.6326675415039,40.72051239013672,78.04106903076172,29.557653427124023,57.020721435546875,141.26612854003906,53.88471221923828,76.79963684082031,68.39730834960938,28.38128662109375,54.25722885131836,73.40538787841797,92.63407897949219,25.02682113647461,41.3430290222168,25.374923706054688,38.59548568725586,28.575910568237305,19.817304611206055,4.625143051147461,39.792232513427734,0.46972140669822693,36.018585205078125,68.15513610839844,18.700092315673828,65.13533782958984,47.55140686035156,51.68962478637695,54.62312698364258,31.5241756439209,55.644161224365234,31.329334259033203,80.36505126953125,11.409329414367676,53.608314514160156,119.82305908203125,38.30576705932617,86.3963623046875,85.66604614257812,71.4539566040039,27.559003829956055,58.347412109375,26.115028381347656,36.84491729736328,23.526020050048828,54.76319885253906
