Date,EWA,EWC,GDX,GDXJ,IVV,SMH,SOXX,SPY,XLE,XOP
2015-01-02,13.699932098388672,22.6599178314209,17.029529571533203,21.191740036010742,170.1892547607422,24.292724609375,27.52903175354004,169.6878204345703,25.548053741455078,156.9237518310547
2015-01-05,13.569747924804688,22.0517578125,17.47909927368164,22.100200653076172,167.20083618164062,23.860280990600586,27.009950637817383,166.6233367919922,24.491180419921875,146.86245727539062
2015-01-06,13.513959884643555,21.727935791015625,18.405200958251953,23.543550491333008,165.69427490234375,23.29854393005371,26.407817840576172,165.05389404296875,24.131406784057617,142.416015625
2015-01-07,13.637938499450684,21.751623153686523,18.063533782958984,22.84734535217285,167.74415588378906,23.601703643798828,26.668840408325195,167.11068725585938,24.18279266357422,140.98794555664062
2015-01-08,13.817716598510742,22.02016258239746,17.793792724609375,22.346418380737305,170.74081420898438,24.190187454223633,27.460805892944336,170.0760955810547,24.725692749023438,145.75901794433594
2015-01-09,13.947893142700195,21.830608367919922,18.620990753173828,23.33129119873047,169.30015563964844,24.118852615356445,27.475637435913086,168.71316528320312,24.52973747253418,146.8949432373047
2015-01-12,13.786717414855957,21.483081817626953,19.322315216064453,24.570873260498047,168.01585388183594,23.811235427856445,26.94765853881836,167.3915252685547,23.82301902770996,139.88449096679688
2015-01-13,13.786717414855957,21.388307571411133,18.47713279724121,23.636943817138672,167.57958984375,23.677492141723633,26.683677673339844,166.92068481445312,23.633481979370117,139.1055450439453
2015-01-14,13.600746154785156,21.25403594970703,18.261341094970703,23.136014938354492,166.56692504882812,23.588329315185547,26.53240203857422,165.91299438476562,23.707365036010742,142.90289306640625
2015-01-15,13.68133544921875,21.135568618774414,19.313323974609375,24.26522445678711,165.0027618408203,23.71761703491211,26.321796417236328,164.39306640625,23.405406951904297,138.0994110107422
2015-01-16,13.836308479309082,21.530475616455078,19.924734115600586,24.528417587280273,167.1185302734375,23.909318923950195,26.609519958496094,166.5489959716797,24.166738510131836,144.3634033203125
2015-01-20,13.656538009643555,21.27773094177246,20.626056671142578,25.555747985839844,167.53012084960938,24.145605087280273,26.885374069213867,166.90423583984375,24.19564437866211,141.92919921875
2015-01-21,13.780515670776367,21.340917587280273,20.26640510559082,25.17368507385254,168.3533935546875,24.45768165588379,27.190887451171875,167.74673461914062,24.687149047851562,147.38177490234375
2015-01-22,13.774317741394043,21.522581100463867,20.158506393432617,24.681245803833008,170.8231964111328,24.676128387451172,27.35402488708496,170.24130249023438,24.802797317504883,147.4142303466797
2015-01-23,13.637938499450684,21.530475616455078,19.547100067138672,23.45015525817871,169.90936279296875,24.569133758544922,27.282838821411133,169.30792236328125,24.62610626220703,147.73878479003906
2015-01-26,13.687533378601074,21.47518539428711,19.915740966796875,24.07843780517578,170.36212158203125,24.573591232299805,27.333267211914062,169.70437622070312,24.97947120666504,151.30892944335938
2015-01-27,13.712326049804688,21.63315200805664,20.572107315063477,24.978408813476562,168.073486328125,24.083192825317383,26.846813201904297,167.46591186523438,24.963409423828125,154.2299041748047
2015-01-28,13.637938499450684,21.088180541992188,19.7539005279541,23.458642959594727,165.90013122558594,23.878114700317383,26.719268798828125,165.3181915283203,23.980419158935547,145.4993133544922
2015-01-29,13.668932914733887,20.993396759033203,19.4122314453125,22.575654983520508,167.48898315429688,24.011856079101562,26.737062454223633,166.84637451171875,24.06072235107422,146.6028289794922
2015-01-30,13.588345527648926,20.882823944091797,20.041622161865234,23.552040100097656,165.36500549316406,23.508079528808594,26.21204948425293,164.74827575683594,24.269535064697266,149.88082885742188
2015-02-02,13.867303848266602,21.43569564819336,20.18548011779785,23.390724182128906,167.3737335205078,23.552663803100586,26.280269622802734,166.7886199951172,25.011592864990234,158.64393615722656
2015-02-03,14.164859771728516,22.01226043701172,19.663986206054688,22.7794246673584,169.75294494628906,23.887027740478516,26.74596405029297,169.20050048828125,25.695831298828125,166.62808227539062
2015-02-04,14.090470314025879,21.6015567779541,20.023637771606445,23.390724182128906,169.15200805664062,24.05643653869629,26.846813201904297,168.55615234375,25.271791458129883,163.0903778076172
2015-02-05,14.344632148742676,22.028060913085938,20.302370071411133,23.866180419921875,170.92190551757812,24.297182083129883,27.107839584350586,170.25779724121094,25.634790420532227,167.89385986328125
2015-02-06,14.2516508102417,21.806915283203125,19.17845344543457,22.618106842041016,170.3703155517578,24.038604736328125,26.95952796936035,169.78697204589844,25.641223907470703,168.7377166748047
2015-02-09,14.233051300048828,21.95697593688965,19.50214195251465,23.136014938354492,169.6376953125,23.722074508666992,26.674776077270508,169.02706909179688,25.66691780090332,168.51048278808594
2015-02-10,14.226850509643555,21.799015045166016,19.13349723815918,22.686033248901367,171.4734649658203,24.50225830078125,27.576488494873047,170.82777404785156,25.654075622558594,164.74563598632812
2015-02-11,14.016080856323242,21.735828399658203,18.755863189697266,22.329439163208008,171.5558624267578,24.64491844177246,27.66547203063965,170.9268341064453,25.474180221557617,164.74563598632812
2015-02-12,14.10286808013916,22.099145889282227,19.01660919189453,22.60112762451172,173.15292358398438,24.992664337158203,28.107440948486328,172.5706329345703,25.808269500732422,168.60789489746094
2015-02-13,14.400422096252441,22.178131103515625,19.11551284790039,22.923757553100586,173.93496704101562,25.139781951904297,28.306169509887695,173.28097534179688,26.354366302490234,173.05426025390625
2015-02-17,14.493412017822266,22.407175064086914,18.495115280151367,22.202083587646484,174.24783325195312,25.24677848815918,28.395151138305664,173.55357360839844,26.434675216674805,175.06655883789062
2015-02-18,14.561600685119629,22.162328720092773,18.917707443237305,22.804895401000977,174.21487426757812,25.162071228027344,28.32099723815918,173.57012939453125,26.11986541748047,171.17184448242188
2015-02-19,14.499610900878906,21.980670928955078,18.468143463134766,22.2869873046875,174.07493591308594,25.17544937133789,28.398115158081055,173.4462127685547,25.997791290283203,171.2367401123047
2015-02-20,14.580202102661133,21.88589096069336,18.38722038269043,21.930395126342773,175.136962890625,25.291362762451172,28.567201614379883,174.4870147705078,25.872512817382812,169.77627563476562
2015-02-23,14.543002128601074,21.88589096069336,18.468143463134766,21.86247444152832,175.07931518554688,25.10857391357422,28.389223098754883,174.46217346191406,25.76650047302246,168.1210479736328
2015-02-24,14.679386138916016,22.01226043701172,18.360248565673828,21.921905517578125,175.6061553955078,25.62572479248047,28.76889419555664,174.9578094482422,25.837181091308594,167.95872497558594
2015-02-25,14.778566360473633,22.233409881591797,18.69292640686035,22.219066619873047,175.47442626953125,25.45185661315918,28.620586395263672,174.80911254882812,25.9785213470459,171.13937377929688
