Date,Open,High,Low,Close
2005-01-03,82.02484127905156,82.15979804168087,80.90472846363579,81.17463684082031
2005-01-04,81.28257135041218,81.33655403836079,79.91954194218098,80.18270111083984
2005-01-05,80.12191868464511,80.46605166782854,79.62259200674019,79.62934112548828
2005-01-06,79.9195390054295,80.39862376020568,79.79808053604454,80.03424835205078
2005-01-07,80.27715903339394,80.45260017506861,79.71035117108809,79.9195327758789
2005-01-10,79.85202926361714,80.60777115024051,79.85202926361714,80.29737854003906
2005-01-11,80.05448755914006,80.1219633400204,79.6158872613097,79.74409484863281
2005-01-12,79.8925081173839,80.18940244709023,79.2987091618318,80.00721740722656
2005-01-13,80.05450278790087,80.11523460589665,79.28526741377478,79.36624145507812
2005-01-14,79.60236846346925,79.98023683285602,79.46066782494921,79.78455352783203
2005-01-18,79.6563556231332,80.71574105969518,79.58887471216167,80.6145248413086
2005-01-19,80.58754874312103,80.64827539679206,79.7643308951025,79.77108001708984
2005-01-20,79.54842224622224,79.75759873968212,79.14356235807583,79.28526306152344
2005-01-21,79.48092509551631,79.62262576088152,78.71168997035012,78.79940795898438
2005-01-24,79.00858099751099,79.17727299398504,78.52275237204553,78.64421081542969
2005-01-25,78.8871449513917,79.26501345873424,78.75893735865522,78.86689758300781
2005-01-26,79.16378451252334,79.35271873589262,78.97485028915403,79.10305786132812
2005-01-27,79.07607132676065,79.45393979645637,78.93437065062476,79.2380142211914
2005-01-28,79.27849865778116,79.31898824244269,78.6847046128205,79.2380142211914
2005-01-31,79.58890023906797,79.79133274076821,79.4269573265512,79.73060607910156
2005-02-01,79.79133723693636,80.35139606153643,79.69012098038279,80.23668670654297
2005-02-02,80.33786783437952,80.69549401241282,80.22990764293114,80.47956848144531
2005-02-03,80.33786913583921,80.40535004816721,80.00723428732945,80.27039337158203
2005-02-04,80.29742079767942,81.26233958965848,80.28392769799164,81.12738800048828
2005-02-07,81.14087528986713,81.32306043700837,80.94519189593156,81.01941680908203
2005-02-08,81.08689262664284,81.41078362487171,81.01941683686637,81.11388397216797
2005-02-09,81.25557720571548,81.30281076902435,80.46609972695067,80.50658416748047
2005-02-10,80.74275250658049,80.98566428391587,80.47284423967541,80.7967300415039
2005-02-11,80.76975086196613,81.67394292003668,80.60780793666723,81.49175262451172
2005-02-14,81.43774124706951,81.55245055699571,81.29604060279529,81.43099212646484
2005-02-15,81.51195729490566,81.93705918165405,81.43098330063783,81.73462677001953
2005-02-16,81.59972385768188,81.95735020289311,81.424282672986,81.78865814208984
2005-02-17,81.80215624248558,81.86963203707069,81.12063887660783,81.12738800048828
2005-02-18,81.13410481289448,81.29605284336688,80.90468615849903,81.23532104492188
2005-02-22,80.90468922185242,81.28930679966246,80.01399561281487,80.0274887084961
2005-02-23,80.25020455170797,80.68205590797186,80.04102799891352,80.60108184814453
2005-02-24,80.45934900796912,81.18809981148183,80.28391300377221,81.13411712646484
2005-02-25,81.15433945720706,82.09901562119641,81.09361281249984,81.93707275390625
2005-02-28,81.74814481869056,81.84936104903419,80.99915192144762,81.39726257324219
2005-03-01,81.52548949288438,81.99782514917567,81.4984981485145,81.8021469116211
2005-03-02,81.48499023568829,82.274467609701,81.41076533918401,81.76164245605469
2005-03-03,82.09230218405062,82.25424511157851,81.4445201777934,81.79540252685547
2005-03-04,82.35544279708614,82.8817610538988,82.1800016621247,82.81428527832031
2005-03-07,82.76707171924693,83.16518249500399,82.5916305418944,82.85478973388672
2005-03-08,82.77382946574915,82.9965042492727,82.39596084988403,82.5444107055664
2005-03-09,82.30143102138564,82.51735651574376,81.61991408841446,81.62666320800781
2005-03-10,81.78189232500432,81.9843248158773,81.2420809294632,81.80888366699219
2005-03-11,81.8561063841852,82.13276374185533,81.08012728414175,81.23532104492188
2005-03-14,81.3837906193661,81.75491517767597,81.16111588438018,81.74141693115234
2005-03-15,81.93032201227099,81.9573133476306,81.02613544404288,81.06661987304688
2005-03-16,80.76974141647648,81.08013928010351,80.22993001258324,80.37837982177734
2005-03-17,80.50660376424517,80.7967543375053,80.28393413905718,80.54034423828125
2005-03-18,80.68732925909441,80.97184382858691,80.0370080281285,80.30120086669922
2005-03-21,80.41635377209768,80.46377286287635,79.77280823034518,80.00312805175781
2005-03-22,80.18600653990336,80.56535913645489,79.19020080566406,79.19020080566406
2005-03-23,79.22407684305436,79.74569188574584,79.08859523544965,79.25794982910156
2005-03-24,79.56956451343267,79.92859543791765,79.29859612021819,79.35279083251953
2005-03-28,79.54248062231879,79.89474114361632,79.46796417236328,79.46796417236328
2005-03-29,79.35280088444371,79.86764037993869,78.74989884652301,78.9395751953125
2005-03-30,79.10893269437179,80.07086573725122,79.10215706215628,80.05731964111328
2005-03-31,80.06408793586453,80.2469886425768,79.84731423947208,79.90827941894531
2005-04-01,80.3621555110254,80.6060265866635,79.19700002200152,79.54925537109375
2005-04-04,79.50183743394841,79.8405466918748,79.08183609353415,79.68473815917969
2005-04-05,79.78633527052088,80.19278526130185,79.71181883591031,80.06407928466797
2005-04-06,80.2402059713504,80.57891516526627,80.05730528068439,80.3418197631836
2005-04-07,80.21312197479882,80.78892662959495,80.15215162615614,80.77537536621094
2005-04-08,80.72798821371704,80.75508558291102,79.93540954589844,79.93540954589844
2005-04-11,80.13180938953464,80.21987190582027,79.82019759926467,79.99632263183594
2005-04-12,79.86086906758216,80.65344749716232,79.30538608681319,80.40957641601562
2005-04-13,80.31475596230416,80.47734016448042,79.34604705625469,79.46121215820312
2005-04-14,79.52893920208332,79.59668002376401,78.42474365234375,78.42474365234375
2005-04-15,78.40441686318395,78.71602875744135,77.29345092077301,77.32732391357422
2005-04-18,77.30702063169505,77.8760498348231,77.19863116350248,77.56443786621094
2005-04-19,77.97088963747132,78.26217987885632,77.78798886650604,78.18089294433594
2005-04-20,78.16054249200683,78.32989711228892,76.92087059944447,77.09022521972656
2005-04-21,77.76087460641993,78.72280769010341,77.48313052502627,78.58732604980469
2005-04-22,78.40438257317538,78.91922186248988,77.40857697253333,78.28922271728516
2005-04-25,78.48570489717056,78.91925230754256,78.39086672417,78.80409240722656
2005-04-26,78.55345957390134,79.10216698142384,78.00475216637882,78.03861999511719
2005-04-27,77.80830636003058,78.62798230430809,77.52379176812484,78.34346771240234
2005-04-28,78.08599758218264,78.3637415389843,77.36116027832031,77.36116027832031
2005-04-29,77.95054146182446,78.492478293501,77.2053821944887,78.41118621826172
2005-05-02,78.62797497951495,78.85829998600174,78.25539269032761,78.85152435302734
2005-05-03,78.62798370741595,79.15636943561108,78.37056647704489,78.98701477050781
2005-05-04,79.02088252740981,79.76604197076026,78.77023577910273,79.59668731689453
2005-05-05,79.71179913435081,79.93534838293014,79.08179999544862,79.56954193115234
2005-05-06,79.88797350482741,79.9286169658542,79.29861747847097,79.31893920898438
2005-05-09,79.40022794369591,79.98958394514483,79.29184366277386,79.8134536743164
2005-05-10,79.50185439954414,79.59669259853844,78.84475747201637,78.98701477050781
