,ann_return,sharpe,max_drawdown
0 vol-pt,0.1027,1.8888,-0.133
0.5 vol-pt,0.0951,1.756,-0.134
1 vol-pt,0.0875,1.6211,-0.135
2 vol-pt,0.0726,1.3475,-0.137
